Subspecies Name,Scientific Name,Region,Physical Characteristics,Coat Variations,Image Path
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\158.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\159.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\16.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\160.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\161.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\162.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\163.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\164.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\165.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\166.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\16QSQK78HHPX.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\16QSQK78HHPX_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\17.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\178WHIZ5RZC6.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\178WHIZ5RZC6_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\18.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\19.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1A0L2S976V3E.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1A0L2S976V3E_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1BX9KLXCZPG7.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1CSITCKYGBN0.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1CSITCKYGBN0_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1IIY4FH7RMBD.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1IIY4FH7RMBD_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1JZBX8TEIMNF.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1JZBX8TEIMNF_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1K460R30X3K0.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1K460R30X3K0_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1KBI0HWDXDZ9_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1LLKPPJHA8PM.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1NOB1MYEIUVZ.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1O6N2U316F2R.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1O6N2U316F2R_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1QFT6AWLWU7E.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1QFT6AWLWU7E_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1RWH385BZL35.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1RY59ZDOQIM5.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1U8ZG9DL55JA.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1U8ZG9DL55JA_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1V4GJMH90OUM.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1V4GJMH90OUM_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1V9BYUD9QRB6.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\1V9BYUD9QRB6_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\2.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\20.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\21.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\210UXC0MB46N.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\210UXC0MB46N_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\22.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\23.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\24.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\25.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\26.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\26FS5UWI80BS.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\26FS5UWI80BS_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\27.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\28.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\29.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\2EBI59URN7SX.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\2EBI59URN7SX_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\2HBXSYGBPG4W.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\2I23NBJFOYCP.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\2K2648GPM6L6.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\2K2648GPM6L6_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\2SANRPCCZLSJ.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\2SANRPCCZLSJ_aug.jpg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\3.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\30.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\31.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\32.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\33.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\34.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\35.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\36.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\37.jpeg
Arctic Wolf,Canis lupus arctos,Arctic region,"Medium-sized build, thick white fur","Pure white, light gray, yellowish tinges",images\Arctic Wolf\37BTXNDFDTNF.jpg
